date,name,year,letterboxd,rating,tv,director
2019-01-29,The Young Pope,2016,https://letterboxd.com/film/the-young-pope/,4.5,1,Paolo Sorrentino
2019-01-28,A Star Is Born,2018,https://letterboxd.com/film/a-star-is-born-2018/,2.5,,
2019-01-19,Amadeus,1984,https://letterboxd.com/film/amadeus/,3.5,,
2019-01-11,Bird Box,2018,https://letterboxd.com/film/bird-box/,2,,
2019-01-07,The Girl on the Train,2016,https://letterboxd.com/film/the-girl-on-the-train-2016/,3,,
2019-01-05,Black Mirror: Bandersnatch,2018,https://letterboxd.com/film/black-mirror-bandersnatch/,2.5,1,
2018-11-20,Wild Tales,2014,https://letterboxd.com/film/wild-tales/,4.5,,Damián Szifron
2018-10-11,R.I.P.D.,2013,https://letterboxd.com/film/ripd/,2,,
2018-10-11,Footloose,2011,https://letterboxd.com/film/footloose-2011/,2,,
2018-10-04,Perfect Blue,1997,https://letterboxd.com/film/perfect-blue/,4,,
2018-09-22,This Is Spinal Tap,1984,https://letterboxd.com/film/this-is-spinal-tap/,3.5,,
2018-06-07,Perfect Strangers,2017,https://letterboxd.com/film/perfect-strangers-2017/,3,,
2018-06-07,Cargo,2017,https://letterboxd.com/film/cargo-2017/,2,,
2018-05-09,Rampage,2018,https://letterboxd.com/film/rampage-2018/,2.5,,
2018-05-09,Avengers: Infinity War,2018,https://letterboxd.com/film/avengers-infinity-war/,3,,
2018-05-09,John Wick: Chapter 2,2017,https://letterboxd.com/film/john-wick-chapter-2/,3.5,,
2018-04-16,Broken Flowers,2005,https://letterboxd.com/film/broken-flowers/,3,,
2018-04-16,Call Me by Your Name,2017,https://letterboxd.com/film/call-me-by-your-name/,3.5,,
2018-04-16,Dunkirk,2017,https://letterboxd.com/film/dunkirk-2017/,3,,
2018-04-16,Lady Bird,2017,https://letterboxd.com/film/lady-bird/,3.5,,
2018-04-16,Coco,2017,https://letterboxd.com/film/coco-2017/,3,,
2018-03-22,Black Panther,2018,https://letterboxd.com/film/black-panther-2018/,3,,
